123456 Maria Gutierrez 1 ;
234567 Jose Mendoza 1 ;
345678 Pedro Arana 3 ;
456789 Juana Cortez 2 ;
567890 Mariana Salcedo 2 ;
678901 Josefa Munoz 3 ;
789012 Miguel Aguirre 1 ;
890123 Hugo Sandoval 3 ;
901234 Sofia Aguilar 2 ;
123457 Federico Caravana 3 ;
234568 Laura Sanchez 1 ;
345679 Antonio Perez 1 ;
456780 Carolina Gomez 2 ;
567891 Luis Torres 2 ;
678912 Paula Ramirez 3 ;
789023 Roberto Vargas 3 ;
890134 Ana Herrera 1 ;
901245 Camila Fernandez 2 ;
123468 Sergio Alvarez 1 ;
234579 Gabriela Lopez 2 ;
345680 Valeria Ortega 1 ;
456791 Tomas Rojas 3 ;
567802 Lucia Jimenez 3 ;
678913 Raul Morales 2 ;
789024 Patricia Pineda 2 ;
890135 Enrique Salazar 1 ;
901246 Diana Vargas 3 ;
123479 Samuel Herrera 1 ;
234590 Carolina Rivera 3 ;
345601 Laura Delgado 1 ;
456712 Alberto Suarez 2 ;
567823 Miguel Chavez 2 ;
678934 Lucia Espinoza 1 ;
789045 Alejandro Rios 3 ;
890156 Valentina Cruz 3 ;
901267 Camila Soto 2 ;
123490 Hugo Gonzalez 1 ;
234501 Sofia Martinez 1 ;
345612 Javier Mendoza 3 ;
456723 Carla Salazar 3 ;
567834 Manuel Torres 2 ;
678945 Paula Reyes 1 ;
789056 Antonio Perez 2 ;
890167 Laura Gomez 3 ;
901278 Gabriel Vargas 1 ;
123501 Lucia Herrera 2 ;
234612 Miguel Lopez 3 ;
345723 Sofia Ramirez 3 ;
456834 Raul Jimenez 2 ;
567945 Valeria Sanchez 1 ;
678056 Tomas Ortega 1 ;
789167 Carolina Salazar 2 ;
890278 Lucia Pineda 3 ;
901389 Antonio Rios 1 ;
123512 Paula Fernandez 3 ;
234623 Hugo Vargas 2 ;
345734 Valeria Alvarez 2 ;
456845 Sergio Ramirez 1 ;
567956 Gabriela Lopez 3 ;
678067 Roberto Gonzalez 3 ;
789178 Camila Cruz 2 ;
890289 Laura Espinoza 1 ;
901390 Miguel Herrera 2 ;
123523 Sofia Torres 3 ;
234634 Javier Salazar 1 ;
345745 Lucia Pineda 1 ;
456856 Raul Mendoza 2 ;
567967 Diana Rojas 3 ;
678078 Alejandro Vargas 1 ;
789189 Hugo Torres 3 ;
890290 Carla Gonzalez 2 ;
901401 Manuel Ramirez 3 ;
123534 Paula Suarez 1 ;
234645 Sergio Martinez 3 ;
345756 Lucia Lopez 2 ;
456867 Miguel Perez 2 ;
567978 Laura Ramirez 1 ;
678089 Antonio Reyes 3 ;
789190 Carolina Salazar 3 ;
890301 Hugo Gonzalez 1 ;
901412 Valeria Vargas 2 ;
123545 Lucia Mendoza 1 ;
234656 Raul Pineda 2 ;
345767 Sergio Lopez 3 ;
456878 Gabriela Torres 3 ;
567989 Tomas Martinez 2 ;
678190 Carolina Sanchez 1 ;
789201 Paula Gonzalez 1 ;
890312 Hugo Fernandez 3 ;
901423 Alejandro Mendoza 2 ;
